task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
ccalca,23,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide highly efficient solutions for basic arithmetic, minimizing the potential impact of LLMs.",0.9,0.05,0.05,0.0
cpercent,23,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are already highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,23,"Carrying, pushing or pulling heavy objects","This task is primarily physical, with minimal opportunity for LLM impact except potentially through assistive robotics (E2).",0.95,0.0,0.05,0.0
cstamina,23,Working for long periods on physical activities,"Stamina is inherently physical; LLMs offer no direct reduction in physical exertion, though some E2 applications might marginally improve workflow efficiency.",0.99,0.0,0.01,0.0
chands,23,"Mending, repairing, assembling, constructing or adjusting things","While primarily manual, LLMs could provide instructions or guides (E1), and AR applications (E2) might offer some assistance, but significant time reduction is unlikely.",0.9,0.05,0.05,0.0
ctools,23,"Knowledge of how to use or operate tools, equipment or machinery","LLMs can provide instructions and tutorials (E1), and integrated applications (E2) could offer interactive guidance, potentially reducing time spent learning or troubleshooting.",0.7,0.2,0.1,0.0
cplanme,23,"Planning one's own activities (lesson planning, grading, meetings, professional development) within the context of teaching and educational roles.","While some personal planning remains idiosyncratic (E0), LLMs can directly assist with scheduling and task management (E1), and integrated tools could further streamline workflows (E2), but image processing is irrelevant (E3).",0.2,0.4,0.4,0.0
cplanoth,23,"Planning the activities of others (students, teaching assistants, colleagues) in educational settings, such as designing group projects, assigning tasks, or coordinating schedules.","Some planning for others requires direct interaction and individualization (E0), but LLMs can assist with task allocation and scheduling (E1), and integrated tools could significantly streamline collaborative planning (E2), with no relevance for image processing (E3).",0.15,0.35,0.5,0.0
cmytime,23,"Organizing one's own time effectively to manage teaching, grading, meetings, and other responsibilities within the educational setting.","While personal time management involves individual preferences (E0), LLMs can significantly aid in scheduling and prioritization (E1), and integrated calendar tools could further enhance efficiency (E2), with no role for image processing (E3).",0.1,0.5,0.4,0.0
cahead,23,"Thinking ahead and anticipating future needs related to curriculum development, student progress, resource allocation, or school events within the educational context.","Forecasting and strategic thinking rely heavily on human judgment and experience (E0), but LLMs can assist with data analysis and trend identification (E1), and specialized planning tools could further enhance foresight (E2), while image processing is not relevant (E3).",0.4,0.3,0.3,0.0
cimpl,23,"Developing plans to put new educational ideas into practice, such as implementing new teaching methods, integrating technology into the classroom, or designing new curricula.","Implementing new ideas requires creativity and adaptation (E0), but LLMs can assist with research, resource gathering, and outlining implementation steps (E1), and specialized educational platforms could significantly streamline the process (E2), with no relevance for image processing (E3).",0.2,0.3,0.5,0.0
cmefeel,23,"Managing your own feelings as a teaching professional, which includes regulating emotions, handling stress, and maintaining composure in challenging classroom situations.","Managing one's feelings is a deeply personal and internal process, making it unlikely that LLMs can significantly reduce the time spent on this task.",0.9,0.05,0.05,0.0
cothfeel,23,"Handling the feelings of other people, specifically students, parents, and colleagues, in the context of education. This involves empathy, communication, and addressing emotional needs in a professional manner.","While LLMs can offer some support in understanding and responding to emotions, the nuanced nature of interpersonal interactions in education limits the potential for significant time reduction.",0.6,0.2,0.2,0.0
clookprt,23,"Looking the part as a teaching professional, which involves maintaining a professional appearance and demeanor appropriate for the educational setting.","Looking the part is entirely dependent on personal choices and actions, with no direct applicability for LLMs.",1.0,0.0,0.0,0.0
csoundprt,23,"Sounding the part as a teaching professional, which involves using appropriate language, tone, and communication style to effectively convey information and build rapport with students, parents, and colleagues.","LLMs can offer some assistance in refining communication, but the real-time, interactive nature of teaching limits the potential for substantial time savings.",0.7,0.2,0.1,0.0
cpeople,23,Dealing with people in the context of teaching and educational roles.,"Direct interpersonal interaction is crucial in education, limiting LLM impact, though they might assist with communication or feedback (E1) or through specialized educational platforms (E2).",0.7,0.2,0.1,0.0
ccaring,23,"Counselling, advising, or caring for students in an educational setting.","While empathy and human connection are central to counselling and advising, LLMs could offer support through information retrieval, personalized feedback generation, or integrated student support systems.",0.6,0.25,0.15,0.0
cselling,23,Promoting educational programs or courses to potential students or parents.,"LLMs can significantly assist in crafting marketing materials, personalizing outreach, and answering inquiries, potentially leading to substantial time savings.",0.3,0.4,0.3,0.0
cproduct,23,"Knowledge of particular educational programs, curricula, or teaching methodologies.","LLMs excel at accessing and synthesizing information, making them highly effective for tasks requiring knowledge of educational products and services.",0.1,0.6,0.3,0.0
cmotivat,23,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting LLM impact, though they could assist with generating ideas or tracking performance (E1/E2).",0.6,0.2,0.2,0.0
cthings,23,Keeping a close control over resources,"Resource management benefits significantly from LLM-powered applications (E2) that could automate tracking, analysis, and reporting, while direct LLM use (E1) offers less substantial gains.",0.1,0.2,0.7,0.0
ccoach,23,Coaching the staff whom you manage,"Coaching involves personalized feedback and interaction, limiting direct LLM impact (E1), but LLM-powered tools could assist with performance tracking and feedback generation (E2).",0.4,0.3,0.3,0.0
ccareers,23,Developing the careers of the staff whom you manage,"LLMs can directly assist (E1) with career development by providing information on opportunities and resources, while integrated applications (E2) could further streamline the process.",0.2,0.4,0.4,0.0
cfuture,23,Making strategic decisions about the future of your organisation,"LLMs can aid strategic decision-making (E1) by summarizing information and generating potential scenarios, while integrated tools (E2) could offer more comprehensive support.",0.2,0.4,0.4,0.0
cteach,24,"Instructing, training, or teaching people, individually or in groups","LLMs can significantly aid in content creation and personalized learning, but human interaction remains crucial for effective teaching, especially in professional contexts.",0.2,0.4,0.35,0.05
cspeech,24,Making speeches or presentations,"LLMs excel at generating and refining speech content, but delivery and audience interaction still rely heavily on human skills.",0.1,0.5,0.35,0.05
cpersuad,24,Persuading or influencing others,"While LLMs can assist with argumentation and content preparation, persuasion relies heavily on interpersonal skills and emotional intelligence, which are less amenable to automation.",0.3,0.3,0.35,0.05
cteamwk,24,"Working with a team of people in business, media, and public service contexts, often involving collaboration on complex projects, legal cases, or public campaigns.","While core teamwork relies on interpersonal skills (E0), LLMs can directly summarize discussions and action items (E1), and integrated tools can significantly enhance project management and communication (E2).",0.2,0.2,0.6,0.0
clisten,24,"Listening carefully to colleagues in meetings, client consultations, court proceedings, or public forums to gather information, understand perspectives, and build rapport.","Active listening depends heavily on nuanced human interaction (E0), but LLMs can assist with transcription and summarization (E1), with limited potential for further time reduction through applications (E2).",0.6,0.3,0.1,0.0
ccoop,24,"Cooperating with colleagues on shared tasks, projects, or initiatives, involving communication, coordination, and joint problem-solving in business, media, and public service settings.","While fundamental cooperation relies on interpersonal dynamics (E0), LLMs can facilitate communication and information sharing (E1), and integrated tools can streamline workflows and collaborative project management (E2).",0.2,0.2,0.6,0.0
cwrite,24,"Writing material such as forms, notices, or signs in the context of Business, Media, and Public Service Professionals.","While simple forms might see limited LLM impact, more complex notices and signs could benefit from LLM-assisted drafting and generation, especially with integrated tools.",0.2,0.4,0.4,0.0
cwritesh,24,"Writing short documents (for example, short reports, letters or emails) in the context of Business, Media, and Public Service Professionals.","LLMs can significantly assist in drafting and refining short documents, with further potential time savings through integration with email and other communication platforms.",0.1,0.5,0.4,0.0
cwritelg,24,"Writing long documents with correct spelling and grammar (for example, long reports, manuals, articles or books) in the context of Business, Media, and Public Service Professionals.","LLMs offer substantial assistance in drafting, structuring, and refining long documents, with integrated tools potentially streamlining research, citation management, and collaborative writing.",0.05,0.45,0.5,0.0
cread,24,"Reading written information such as forms, notices, or signs in the context of business, media, and public service professions.","Reading short, simple texts like forms and signs offers minimal opportunity for LLM assistance, as the task is already quick and straightforward.",0.95,0.05,0.0,0.0
cshort,24,"Reading short documents such as short reports, letters, or emails in the context of business, media, and public service professions.","LLMs can significantly aid in summarizing and extracting key information from short documents, but human review and context are often still necessary.",0.4,0.4,0.2,0.0
clong,24,"Reading long documents such as long reports, manuals, articles, or books in the context of business, media, and public service professions.","LLMs excel at summarizing, analyzing, and extracting key information from lengthy documents, offering substantial time savings for research and analysis tasks common in these professions.",0.1,0.6,0.3,0.0
canalyse,24,Analysing complex problems in depth,"LLMs can significantly aid in research, synthesis, and exploring solution spaces for complex problems, but human expertise remains crucial for final validation and decision-making.",0.15,0.45,0.35,0.05
cfaults,24,Spotting problems or faults,"While LLMs can assist in identifying potential issues by analyzing data and patterns, human judgment and domain expertise are essential for confirming and interpreting these findings.",0.25,0.35,0.35,0.05
ccause,24,Working out the cause of problems or faults,"LLMs can accelerate research and hypothesis generation related to problem causation, but human expertise is still needed for validation and complex causal analysis.",0.2,0.4,0.35,0.05
csolutn,24,Thinking of solutions to problems,"LLMs excel at generating diverse solutions and exploring different approaches, significantly aiding brainstorming and solution development, though human evaluation and selection remain critical.",0.1,0.5,0.35,0.05
cspecial,24,Specialist knowledge or understanding,"While core expertise remains crucial, LLMs can significantly augment specialist knowledge access and application, especially when integrated with legal, financial, or other specialized databases.",0.15,0.45,0.35,0.05
cupto,24,Keeping up-to-date with and applying new knowledge to your job,"LLMs excel at summarizing and synthesizing new information, making it easier for professionals to stay current, particularly with integrated tools for filtering and analysis.",0.05,0.5,0.4,0.05
cideas,24,"Developing new or improved work processes, products or services","LLMs can facilitate brainstorming, research, and initial drafting of new ideas, particularly when integrated with project management and workflow tools, but human oversight remains essential.",0.1,0.4,0.45,0.05
cstats,24,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While existing statistical software handles many calculations, LLMs can assist with complex procedures, data interpretation, and report generation, especially when integrated with specialized applications.",0.15,0.25,0.5,0.1
ccalca,24,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide highly efficient solutions for basic arithmetic, leaving minimal room for LLM impact.",0.9,0.05,0.05,0.0
cpercent,24,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Existing tools like calculators and spreadsheets are already highly efficient for these calculations, offering minimal opportunity for significant time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,24,"Carrying, pushing or pulling heavy objects","This task is entirely physical and not applicable to the typical work of Business, Media, and Public Service Professionals.",1.0,0.0,0.0,0.0
cstamina,24,Working for long periods on physical activities,"While this occupation may require long work hours, it's primarily mentally demanding, not physically demanding, and LLMs won't impact physical stamina.",1.0,0.0,0.0,0.0
chands,24,"Mending, repairing, assembling, constructing or adjusting things","This task is not relevant to the core duties of Business, Media, and Public Service Professionals.",1.0,0.0,0.0,0.0
ctools,24,"Knowledge of how to use or operate tools, equipment or machinery","While these professionals use software tools, LLMs are unlikely to significantly reduce the time spent learning or operating existing software by 25%, though some minor assistance is possible (E1).",0.9,0.1,0.0,0.0
cplanme,24,"Planning your own activities in the context of Business, Media, and Public Service professions, such as scheduling meetings, prioritizing tasks, and managing workload.","While basic planning relies on individual organization (E0), LLMs can directly assist with prioritization and scheduling (E1), and integrated applications offer further potential for time management (E2); image processing is not relevant (E3).",0.2,0.3,0.5,0.0
cplanoth,24,"Planning the activities of others, such as delegating tasks, managing team projects, and coordinating schedules for colleagues or clients, within Business, Media, and Public Service roles.","While some planning relies on individual judgment (E0), LLMs can assist with task allocation and scheduling (E1), and integrated project management tools offer substantial potential for streamlining team activities (E2); image processing is not relevant (E3).",0.15,0.25,0.6,0.0
cmytime,24,"Organizing one's own time effectively to meet deadlines, manage appointments, and balance various professional responsibilities within Business, Media, and Public Service roles.","While personal time management relies on individual habits (E0), LLMs can directly assist with scheduling and prioritization (E1), and integrated calendar applications offer further potential for optimization (E2); image processing is not relevant (E3).",0.25,0.35,0.4,0.0
cahead,24,"Thinking ahead and anticipating potential challenges or opportunities in Business, Media, and Public Service contexts, such as forecasting market trends, preparing for legal cases, or developing long-term strategies.","Strategic foresight relies heavily on human expertise and judgment (E0), but LLMs can assist with research and trend analysis (E1), offering some potential for time savings; specialized forecasting tools may offer further benefits (E2), but image processing is not relevant (E3).",0.4,0.4,0.2,0.0
cimpl,24,"Developing plans to put new ideas into practice within Business, Media, and Public Service professions, such as creating marketing campaigns, implementing new legal procedures, or launching public service initiatives.","While implementation requires human oversight and decision-making (E0), LLMs can assist with research, drafting plans, and outlining steps (E1), and project management tools integrated with LLMs offer further potential for streamlining execution (E2); image processing is not relevant (E3).",0.2,0.3,0.5,0.0
cmefeel,24,Managing your own feelings,"Managing one's feelings is a deeply personal task with limited potential for LLM impact in this occupation, though some benefit from stress management or mindfulness apps is conceivable.",0.9,0.05,0.05,0.0
cothfeel,24,Handling the feelings of other people,"While human empathy remains crucial, LLMs could offer some assistance in understanding and responding to others' emotions, particularly in fields like social work or public relations.",0.6,0.2,0.2,0.0
clookprt,24,Looking the part,"Looking the part relies primarily on personal choices and professional standards, with minimal potential for LLM impact, though some image-based applications for virtual appearance are conceivable.",0.95,0.0,0.05,0.0
csoundprt,24,Sounding the part,"LLMs can significantly assist in crafting professional language and communication styles, particularly for written communication, but human interaction still plays a key role.",0.5,0.3,0.2,0.0
cpeople,24,"Dealing with people in the context of providing professional services like legal advice, financial consulting, or public relations.","While interpersonal skills remain crucial, LLMs can augment communication and information exchange, especially within integrated CRM or client management systems.",0.2,0.3,0.5,0.0
ccaring,24,"Counselling, advising, or caring for customers or clients in roles like social work, financial advising, or legal representation.","Empathy and human judgment are central, but LLMs can assist with information gathering, case management, and generating personalized advice.",0.3,0.3,0.4,0.0
cselling,24,"Selling a product or service, such as financial products, advertising campaigns, or consulting services.","LLMs can significantly enhance sales processes by generating personalized pitches, analyzing client data, and automating follow-ups.",0.15,0.35,0.5,0.0
cproduct,24,"Knowledge of particular products or services relevant to the professional field, such as legal precedents, financial instruments, or media platforms.","LLMs excel at providing quick access to and synthesis of complex information, significantly aiding professionals in staying up-to-date and informed.",0.05,0.45,0.5,0.0
cmotivat,24,Motivating the staff whom you manage or supervise,"Motivating staff relies heavily on interpersonal skills and emotional intelligence, limiting the impact of LLMs, though they can assist with generating ideas and tracking performance (E1 and E2).",0.6,0.2,0.2,0.0
cthings,24,Keeping a close control over resources,"Existing software solutions already handle resource management, but LLM-powered applications could significantly improve efficiency through automation and analysis.",0.1,0.2,0.7,0.0
ccoach,24,Coaching the staff whom you manage,"While coaching involves interpersonal dynamics, LLMs can assist with generating feedback, suggesting training resources, and tracking progress.",0.4,0.3,0.3,0.0
ccareers,24,Developing the careers of the staff whom you manage,"LLMs can contribute to career development by analyzing skills gaps, suggesting training programs, and facilitating performance reviews, but human oversight remains crucial.",0.2,0.3,0.5,0.0
cfuture,24,Making strategic decisions about the future of your organisation,"LLMs can assist in strategic decision-making by analyzing data, generating forecasts, and summarizing information, but human judgment remains essential.",0.2,0.4,0.4,0.0
cteach,31,"Instructing, training, or teaching people, individually or in groups","While in-person instruction benefits from human interaction, LLMs can significantly aid in content creation, personalized learning plans, and interactive training modules, especially when combined with educational software.",0.2,0.4,0.35,0.05
cspeech,31,Making speeches or presentations,"LLMs can significantly reduce speechwriting and presentation preparation time, though delivery still relies on human presentation skills; integration with presentation software could further enhance efficiency.",0.15,0.5,0.3,0.05
cpersuad,31,Persuading or influencing others,"Persuasion relies heavily on interpersonal skills and understanding nuanced contexts, limiting LLM impact; however, LLMs can assist in crafting persuasive arguments and tailoring communication.",0.4,0.3,0.25,0.05
cteamwk,31,"Working with a team of people in the context of providing technical support in science, engineering, and technology fields.","Teamwork relies heavily on interpersonal communication and coordination, where LLMs have limited impact beyond existing tools like email and project management software.",0.7,0.15,0.15,0.0
clisten,31,"Listening carefully to colleagues to understand technical issues, project requirements, or instructions in a science, engineering, or technology setting.","Listening is a fundamental human skill, and while LLMs might offer some transcription or summarization capabilities, they are unlikely to significantly reduce the time spent actively listening and understanding colleagues in real-time.",0.9,0.05,0.05,0.0
ccoop,31,"Cooperating with colleagues to achieve shared goals in technical projects or support tasks within science, engineering, and technology fields.","While cooperation involves communication, LLMs integrated into project management or collaborative platforms could potentially streamline some aspects of coordination and information sharing, but the core task remains inherently human-driven.",0.7,0.1,0.2,0.0
cwrite,31,"Writing material such as forms, notices, or signs in the context of providing technical support in science, engineering, and technology.","LLMs can significantly assist in generating standard text for forms, notices, and signs, but some customization and formatting may still be required.",0.2,0.6,0.2,0.0
cwritesh,31,"Writing short documents such as short reports, letters, or emails in the context of providing technical support.","LLMs excel at generating short documents, especially when given specific parameters or data, but review and editing are still necessary.",0.1,0.7,0.2,0.0
cwritelg,31,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books, in the context of technical support roles.","While LLMs can significantly assist in drafting long documents, structuring, fact-checking, and ensuring technical accuracy still require human oversight.",0.1,0.5,0.4,0.0
cread,31,"Reading written information such as forms, notices or signs in the context of Science, Engineering and Technology Associate Professionals. This might involve reading safety notices in a lab, equipment operating instructions, or work orders.","Reading short, simple texts like forms and signs is already very quick, leaving little room for LLMs to offer significant time savings.",0.9,0.05,0.05,0.0
cshort,31,"Reading short documents such as short reports, letters, or emails in the context of Science, Engineering and Technology Associate Professionals. This could include reading technical specifications, test results summaries, or communication from colleagues.","While LLMs could summarize or extract key information from short documents, the time savings might not consistently reach the 25% threshold for all tasks.",0.6,0.2,0.2,0.0
clong,31,"Reading long documents such as long reports, manuals, articles, or books in the context of Science, Engineering and Technology Associate Professionals.  This might involve reviewing research papers, studying technical manuals for equipment, or analyzing detailed project reports.","LLMs excel at summarizing and extracting key information from lengthy technical documents, offering substantial potential time savings.",0.2,0.4,0.4,0.0
canalyse,31,Analyzing complex problems in depth,"LLMs can assist with research and information gathering, but hands-on investigation and specialized tools remain crucial for many technical problems.",0.2,0.4,0.35,0.05
cfaults,31,Spotting problems or faults,"While visual inspection and specialized tools are primary, LLMs integrated with diagnostic systems could enhance problem identification.",0.3,0.2,0.4,0.1
ccause,31,Working out the cause of problems or faults,"LLMs can aid in troubleshooting by providing access to documentation and suggesting potential causes, but hands-on testing is often necessary.",0.25,0.35,0.3,0.1
csolutn,31,Thinking of solutions to problems,"LLMs can offer potential solutions based on existing knowledge and best practices, accelerating the problem-solving process.",0.2,0.45,0.3,0.05
cspecial,31,"Utilizing specialized knowledge or understanding within science, engineering, and technology support roles.","LLMs can significantly improve access to and application of specialized knowledge, but hands-on work and specific tool expertise remain essential.",0.15,0.45,0.35,0.05
cupto,31,"Keeping up-to-date with and applying new knowledge relevant to science, engineering, and technology support roles.","LLMs excel at summarizing and synthesizing new information, directly aiding in staying current with advancements, though practical application still requires human oversight.",0.05,0.6,0.3,0.05
cideas,31,"Developing new or improved work processes, products, or services within the context of science, engineering, and technology support roles.","LLMs can facilitate idea generation and process improvement, but practical implementation and testing within specific technical environments remain crucial.",0.1,0.4,0.45,0.05
cstats,31,Calculations using more advanced mathematical or statistical procedures (Note: Using a calculator or computer if necessary.),"While existing tools handle many statistical calculations, LLMs can streamline complex procedures, especially when integrated with specialized software, though image processing has limited impact.",0.15,0.35,0.45,0.05
ccalca,31,"Adding, subtracting, multiplying or dividing numbers (Note: Using a calculator or computer if necessary.)","Basic arithmetic is already efficiently handled by calculators and computers, minimizing the impact of LLMs.",0.9,0.05,0.05,0.0
cpercent,31,"Calculations using decimals, percentages or fractions (Note: Using a calculator or computer if necessary.)","Calculators and spreadsheets already provide efficient solutions for these calculations, limiting the potential time savings from LLMs.",0.85,0.1,0.05,0.0
cstrength,31,"Carrying, pushing, or pulling heavy objects","This task is primarily physical, with minimal potential for LLM impact except through potential future robotic integration.",0.95,0.0,0.05,0.0
cstamina,31,Working for long periods on physical activities,"Physical stamina is inherently human-dependent, with limited scope for LLM influence beyond potential ergonomic guidance through integrated applications.",0.95,0.0,0.05,0.0
chands,31,"Mending, repairing, assembling, constructing, or adjusting things","While primarily hands-on, LLMs could offer some guidance through manuals or instructions (E1), and integrated AR applications could provide more significant assistance (E2), with limited potential for image recognition (E3).",0.6,0.1,0.25,0.05
ctools,31,"Knowledge of how to use or operate tools, equipment, or machinery","LLMs can provide instructions and documentation (E1), while integrated systems could offer real-time guidance and troubleshooting (E2), with some potential for image-based tool recognition or AR overlays (E3).",0.4,0.3,0.25,0.05
cplanme,31,"Planning your own activities as a Science, Engineering, and Technology Associate Professional","While basic planning might remain unaffected (E0), LLMs can directly assist with scheduling and prioritization (E1), and integrated tools could further enhance efficiency (E2), while image processing is irrelevant (E3).",0.2,0.3,0.5,0.0
cplanoth,31,"Planning the activities of others as a Science, Engineering, and Technology Associate Professional, such as delegating tasks to junior technicians or coordinating with other team members.","Basic task delegation might see limited LLM impact (E0), but LLMs can assist with task breakdown and scheduling (E1), and integrated project management tools could significantly improve team coordination (E2), while image processing is not relevant (E3).",0.15,0.25,0.6,0.0
cmytime,31,"Organizing one's own time as a Science, Engineering, and Technology Associate Professional, including scheduling experiments, maintenance tasks, or support requests.","Existing calendaring tools already handle basic scheduling (E0), but LLMs can assist with prioritization and task management (E1), and integration with project management or lab management software could further optimize time allocation (E2), while image processing is not relevant (E3).",0.25,0.35,0.4,0.0
cahead,31,"Thinking ahead as a Science, Engineering, and Technology Associate Professional, such as anticipating potential problems in experiments or maintenance schedules.","Foresight often relies on experience and domain knowledge (E0), but LLMs can provide relevant information and suggest potential issues (E1), while integrated tools could offer predictive capabilities based on data analysis (E2), and image processing is not applicable (E3).",0.5,0.3,0.2,0.0
cimpl,31,"Developing plans to put new ideas into practice as a Science, Engineering, and Technology Associate Professional, such as creating implementation plans for new equipment or software.","Basic planning might remain largely unaffected (E0), but LLMs can assist with research, task breakdown, and resource allocation (E1), and integrated project management tools could significantly streamline the implementation process (E2), while image processing is not relevant (E3).",0.2,0.3,0.5,0.0
cmefeel,31,"Managing your own feelings in the context of a Science, Engineering and Technology Associate Professional role. This could involve handling stress related to deadlines, technical challenges, or interpersonal interactions in the workplace.","Managing one's feelings is a deeply personal task with limited applicability for LLMs, though some nascent mental health apps might offer minor assistance.",0.9,0.05,0.05,0.0
cothfeel,31,"Handling the feelings of other people, such as colleagues, supervisors, or clients, within a technical work environment. This could involve providing emotional support, resolving conflicts, or navigating sensitive interpersonal situations.","While LLMs can offer some communication guidance, handling others' feelings relies heavily on empathy and nuanced interpersonal skills, limiting LLM impact.",0.7,0.15,0.15,0.0
clookprt,31,"Looking the part for a Science, Engineering, and Technology Associate Professional. This involves dressing appropriately for the work environment, which might range from lab attire to business casual, and maintaining a professional appearance.","Looking the part is a physical task with minimal potential for LLM assistance, though some future apps might offer fashion advice.",0.95,0.0,0.05,0.0
csoundprt,31,"Sounding the part in a technical role, meaning communicating effectively and professionally with colleagues, supervisors, and clients. This includes using appropriate technical language, explaining complex concepts clearly, and maintaining a professional tone in written and verbal communication.","LLMs can significantly improve written and verbal communication, assisting with grammar, tone, and clarity, especially in technical contexts.",0.2,0.6,0.2,0.0
cpeople,31,"Dealing with people in the context of providing technical support, explaining technical concepts, and troubleshooting issues.","While interpersonal skills remain crucial, LLMs can enhance communication and knowledge access through integrated applications, but image processing is irrelevant.",0.3,0.2,0.5,0.0
ccaring,31,"Counselling, advising, or caring for customers or clients regarding technical issues, providing solutions, and offering guidance.","Empathy remains essential, but LLMs can significantly improve information delivery and solution finding through specialized applications, while image processing adds no value.",0.2,0.3,0.5,0.0
cselling,31,"Selling a technical product or service, explaining its features and benefits, and addressing customer inquiries.","Human persuasion is still key, but LLMs can significantly aid product knowledge and communication through integrated sales tools, with no relevance for image processing.",0.2,0.3,0.5,0.0
cproduct,31,Possessing and applying knowledge of particular technical products or services to assist clients and solve problems.,"LLMs excel at providing and organizing product information, significantly impacting this knowledge-intensive task, with potential for further enhancement through specialized applications, but no image processing relevance.",0.05,0.45,0.5,0.0
cmotivat,31,Motivating the staff whom you manage or supervise,"While LLMs can offer suggestions for motivational techniques, the core of motivating staff relies on interpersonal skills and emotional intelligence, limiting LLM impact.",0.6,0.2,0.2,0.0
cthings,31,Keeping a close control over resources,LLM-powered applications integrating with inventory management and resource allocation systems could significantly improve efficiency in resource control.,0.1,0.2,0.7,0.0
ccoach,31,Coaching the staff whom you manage,"LLMs can provide coaching resources and feedback suggestions, but the personalized aspect of coaching still relies heavily on human interaction.",0.4,0.3,0.3,0.0
ccareers,31,Developing the careers of the staff whom you manage,"LLMs can assist in identifying training opportunities, creating development plans, and tracking progress, but human guidance remains crucial for career development.",0.2,0.4,0.4,0.0
cfuture,31,Making strategic decisions about the future of your organisation,"LLMs can analyze data, provide insights, and suggest potential strategies, but high-level strategic decisions still require human judgment and leadership.",0.2,0.4,0.4,0.0
cteach,32,"Instructing, training, or teaching people, individually or in groups","LLMs can significantly aid in creating training materials and providing personalized learning experiences, but the interpersonal aspects of teaching and hands-on demonstrations still require human involvement.",0.2,0.4,0.35,0.05
cspeech,32,Making speeches or presentations,"LLMs excel at generating content and structuring presentations, but delivery and audience interaction remain crucial, especially in healthcare and social care contexts.",0.15,0.5,0.3,0.05
cpersuad,32,Persuading or influencing others,"While LLMs can provide data and arguments to support persuasion, building trust and rapport remains a primarily human skill, especially in sensitive social and healthcare situations.",0.4,0.3,0.25,0.05
cteamwk,32,"Working with a team of people in a healthcare and social care setting, involving coordinating patient care, sharing information, and collaborating on treatment plans.","Teamwork in healthcare relies heavily on interpersonal communication and real-time coordination, limiting the potential for significant LLM-driven time reduction, though LLM-powered applications could improve information sharing and coordination.",0.6,0.2,0.2,0.0
clisten,32,"Listening carefully to colleagues in a healthcare and social care environment to understand patient needs, treatment plans, and feedback, requiring active listening and empathy.","Listening carefully relies on fundamental human interaction, with minimal potential for LLM impact in reducing time spent.",0.9,0.05,0.05,0.0
ccoop,32,"Cooperating with colleagues in healthcare and social care, involving shared decision-making, collaborative problem-solving, and coordinated actions to provide patient care.","While cooperation relies on interpersonal skills, LLM-powered applications could facilitate information sharing and coordination, potentially reducing time spent on some tasks.",0.6,0.15,0.25,0.0
cwrite,32,"Writing material such as forms, notices, or signs in a healthcare and social care setting.","While pre-filled forms are common, LLMs can assist with generating notices and signs, especially with integrations into existing systems.",0.2,0.4,0.4,0.0
cwritesh,32,"Writing short documents such as short reports, letters, or emails in a healthcare and social care setting.","LLMs can significantly assist with drafting and summarizing short documents, particularly with integrations into email and reporting systems.",0.1,0.5,0.4,0.0
cwritelg,32,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books in a healthcare and social care setting.","LLMs excel at generating and editing long-form text, offering substantial time savings even without specialized integrations.",0.2,0.6,0.2,0.0
cread,32,"Reading written information such as forms, notices, or signs in a healthcare and social care setting.","Reading short, simple texts like forms, notices, or signs offers minimal potential for LLM-driven time savings, as the task is already quick and straightforward.",0.9,0.05,0.05,0.0
cshort,32,"Reading short documents such as short reports, letters, or emails in a healthcare and social care setting.","While LLMs could summarize or extract key information from short documents, the time savings might not consistently reach the 25% threshold for all tasks.",0.6,0.2,0.2,0.0
clong,32,"Reading long documents such as long reports, manuals, articles, or books in a healthcare and social care setting.","LLMs excel at summarizing and extracting key information from lengthy documents, offering substantial potential for time savings in research, training, and case review.",0.2,0.4,0.4,0.0
canalyse,32,Analyzing complex problems in depth in a healthcare or social care setting.,"LLMs can assist with information gathering and preliminary analysis, but human expertise remains crucial for nuanced understanding of complex healthcare and social care problems.",0.2,0.3,0.45,0.05
cfaults,32,"Spotting problems or faults related to patient care, medical equipment, or social work cases.","While some faults might be identified through data analysis with LLMs, many require direct observation and professional judgment, limiting LLM impact.",0.3,0.2,0.4,0.1
ccause,32,Working out the cause of problems or faults in healthcare or social care contexts.,"LLMs can assist in identifying potential causes by analyzing data and providing relevant information, but human expertise is essential for accurate diagnosis and causal determination.",0.25,0.25,0.4,0.1
csolutn,32,"Thinking of solutions to problems related to patient care, medical procedures, or social work cases.","LLMs can provide relevant information and suggest potential solutions, but human judgment and ethical considerations are paramount in healthcare and social care decision-making.",0.15,0.35,0.45,0.05
