idmaster,onet_task,idusing,onet_task1,similscore
8746,operate test maintain robotic equipment used green production applications such as waste-to-energy conversion systems minimization of material waste replacement of human operators in dangerous work environments,298,plan direct development communication of programs to maintain favorable public stockholder perceptions of an organizations accomplishments agenda environmental responsibility,0.7333
14036,use handtools such as screwdrivers pliers wrenches pressure gauges precision instruments as well as power tools such as pneumatic wrenches lathes welding equipment jacks hoists,324,prepare process legal documents papers such as summonses subpoenas complaints appeals motions pretrial agreements,0.7333
953,assist educational specialists clinical psychologists in administering situational diagnostic tests to measure clients abilities progress,90,confer with parents administrators testing specialists social workers professionals to develop individual educational plans designed to promote students educational physical social development,0.7333
10472,provide advice on the development application of better boom-spray technology to limit the overapplication of chemicals to reduce the migration of chemicals beyond the fields being treated,366,read prescriptions specifications to determine the type of product device to be fabricated the materials tools that will be required,0.7333
3418,design develop medical diagnostic clinical instrumentation equipment procedures using the principles of engineering biobehavioural sciences,24,analyze implement engineering designs producing electronic devices systems microprocessor-based control applications applying principles of mathematics digital signal processing network analysis computer engineering,0.7333
4237,direct documentation efforts to ensure compliance with domestic international regulations standards,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7333
9970,prepare deliver reports presentations of geospatial project information,335,prepare statistical reports narrative reports graphic presentations of information such as tumor registry data use by hospital staff researchers other users,0.7333
3451,design fuel cell systems subsystems stacks assemblies components such as electric traction motors power electronics,41,assess electrical components consumer electronics applications such as fuel cells consumer electronic devices power saving devices computers televisions energy efficient power chargers,0.7333
8263,negotiate with colleagues members of other political parties in order to reconcile differing interests to create policies agreements,62,collaborate with other managers staff members to formulate implement policies procedures goals objectives,0.7332
6261,inspect sample workpieces to verify conformance with specifications using instruments such as gauges micrometers dial indicators,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.7332
8404,observe record field conditions gathering interpreting reporting data such as flow meter readings chemical levels,441,write present publish reports that record site history methodology artifact analysis results along with recommendations conserving interpreting findings,0.7332
10274,prepare type loan applications closing documents legal documents letters forms government notices checks using computers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7332
10551,provide consulting services including educational programs outreach programs prevention talks to schools social service agencies businesses the general public,358,provide students with information on such topics as college degree programs admission requirements financial aid opportunities trade technical schools apprenticeship programs,0.7332
11795,research perform calculations related to landscape allowances discharge volumes production-based alternative limits wastewater strength classifications making recommendations completing documentation,141,develop communications materials advertisements presentations public relations initiatives to promote awareness of green products technologies,0.7332
11608,repair replace musical instrument parts components such as strings bridges felts keys using hand power tools,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.7332
8980,participate in conferences training to update share knowledge of new hearing balance disorder treatment methods technologies,359,provide technical advice on the use of current instructional technologies including computer-based training desktop videoconferencing multimedia distance learning technologies,0.7332
7828,model biological chemical physical treatment processes to remove degrade pollutants,258,modify control biological systems to replace augment sustain chemical mechanical processes,0.7331
2376,conduct participate in workshops committees conferences designed to promote the intellectual social physical welfare of students,90,confer with parents administrators testing specialists social workers professionals to develop individual educational plans designed to promote students educational physical social development,0.7331
5198,examine measure weigh materials products to verify conformance to standards using measuring devices such as templates micrometers scales,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7331
9319,perform office duties such as telemarketing customer service inquiries maintaining staff records billing patients receiving payments,334,prepare shipping documentation such as including bills of lading packing lists dock receipts certificates of origin,0.7331
3934,develop new products procedures sterilization food pharmaceutical supply preservation microbial contamination detection,169,devise scalable recovery purification fermentation processes producing proteins other biological substances human animal therapeutic use food production processing biofuels effluent treatment,0.733
11798,research renewable alternative energy systems technologies such as solar thermal photovoltaic energy,415,test analyze thermodynamic systems renewable energy applications such as solar wind to maximize energy production,0.733
10570,provide direction to employees to ensure compliance with biofuels plant safety environmental operational standards regulations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.733
11785,research investigate products to be presented to prepare demonstrations,374,research reference materials analyze production data consult with interested parties to develop ideas new products,0.7329
6137,inspect facilities recommend building equipment modifications to ensure emergency readiness compliance to access safety sanitation regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7329
5838,identify opportunities implement changes to improve manufacturing processes products to reduce costs using knowledge of fabrication processes tooling production equipment assembly methods quality control standards product design materials parts,159,develop recommend manage security procedures operations processes such as security call centers system acquisition development maintenance access control program models reporting tools,0.7329
2374,conduct oversee the conduct of prototype development microfabrication activities to ensure compliance to specifications promote effective production processes,135,determine map content layout as well as production specifications such as scale size projection colors direct production to ensure that specifications are followed,0.7329
13035,study blueprints layouts charts job orders information on specifications tooling instructions to determine material requirements operational sequences,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7328
9793,position imaging equipment adjust controls to set exposure time distance according to specification of examination,1,adjust controls of equipment to control particle beam movement pulse rates energy intensity radiation according to specifications,0.7327
7499,manage forest protection activities including fire control fire crew training coordination of fire detection public education programs,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7327
1852,collaborate with representatives from other government intelligence organizations to share information coordinate intelligence activities,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7326
2752,consult with government regulatory licensing agencies to ensure the institutions conformance with applicable standards,228,inspect public establishments to ensure compliance with rules regulations,0.7326
13214,supervise production testing processes in industrial settings such as metal refining facilities smelting foundry operations non-metallic materials production operations,369,recommend instructional methods such as individual group instruction self-study lectures demonstrations simulation exercises role-playing appropriate content learner characteristics,0.7326
2535,confer with coworkers to obtain information about orders processes problems,92,confer with systems analysts engineers programmers others to design system to obtain information on project limitations capabilities performance requirements interfaces,0.7326
1801,collaborate with human resources departments to ensure the implementation of consistent disciplinary action strategies in cases of compliance standard violations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7326
8087,monitor status of loans accounts to ensure that payments are up to date,98,contact creditors to explain clients financial situations to arrange payment adjustments so that payments are feasible clients agreeable to creditors,0.7325
5828,identify modifications to engines fuel systems emissions control equipment other vehicle systems to determine the impact of modifications on inspection procedures conclusions,1,adjust controls of equipment to control particle beam movement pulse rates energy intensity radiation according to specifications,0.7325
4572,draft rules regulations to govern collective bargaining activities in collaboration with company government employee representatives,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7325
13913,troubleshoot make minor repairs to geothermal plant instrumentation electrical systems,53,build calibrate maintain troubleshoot repair electrical instruments testing equipment,0.7325
10855,read blueprints work orders production schedules to determine product job instructions specifications,135,determine map content layout as well as production specifications such as scale size projection colors direct production to ensure that specifications are followed,0.7325
2214,conduct administer fiscal operations including accounting planning budgets authorizing expenditures establishing rates services coordinating financial reporting,193,examine drawings negatives photographic prints to determine coloring shading accenting other changes required retouching restoration,0.7325
10867,read current literature talk with colleagues continue education participate in professional organizations conferences to keep abreast of developments in the field,105,coordinate sales other promotional strategies with merchandising operations inventory control staff to ensure product catalogs are current accurate organized best findability against user intent,0.7325
8122,monitor the work of specialists such as electrical engineers mechanical engineers interior designers sound specialists to ensure optimal form function of designs final structures,90,confer with parents administrators testing specialists social workers professionals to develop individual educational plans designed to promote students educational physical social development,0.7323
12554,set up equipment that automatically detects area radiation deviations test detection equipment to ensure its accuracy,174,direct coordinate construction erection decoration activities in order to ensure that sets exhibits meet design budget schedule requirements,0.7323
6546,instruct patients parents teachers employers in communication strategies to maximize effective receptive communication,141,develop communications materials advertisements presentations public relations initiatives to promote awareness of green products technologies,0.7323
1830,collaborate with other scientists in the design development testing of experimental industrial medical equipment instrumentation procedures,65,collaborate with other staff to assist in the development implementation of goals objectives policies priorities,0.7323
3628,determine procedures instructions to be followed according to design specifications quantity of required materials,366,read prescriptions specifications to determine the type of product device to be fabricated the materials tools that will be required,0.7322
406,analyze fuel cell related test data using statistical software,392,select statistical tests analyzing data,0.7322
9603,plan curatorial programs species collections that include acquisition distribution maintenance regeneration,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7322
4571,draft plans detailed drawings structures installations construction projects such as highways sewage disposal systems dikes working from sketches notes,130,design transportation systems structures using sustainable materials products such as porous pavement bioretention structures,0.7322
9624,plan direct development communication of programs to maintain favourable public stockholder perceptions of an organizations accomplishments agenda environmental responsibility,8,advise food service managers organizations on sanitation safety procedures menu development budgeting planning to assist with the establishment operation evaluation of food service facilities nutrition programs,0.7321
10871,read current literature talk with colleagues participate in professional organizations conferences to keep abreast of developments in dermatology,374,research reference materials analyze production data consult with interested parties to develop ideas new products,0.7321
4830,escort individuals groups on cruises sightseeing tours through places of interest such as industrial establishments public buildings art galleries,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.7321
10445,promote conference convention trades show services by performing tasks such as meeting with professional trade associations producing brochures other publications,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7321
11981,review logs datasheets reports to ensure adequate production levels safe production environments to identify abnormalities with power production equipment processes,141,develop communications materials advertisements presentations public relations initiatives to promote awareness of green products technologies,0.7321
5113,examine assembled finished products to ensure conformance to specifications using magnifying glasses precision measuring instruments,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7321
7405,maintain test equipment in operational condition by performing routine maintenance making minor repairs adjustments as needed,86,conduct training programs to develop maintain desired animal behaviors competition entertainment obedience security riding related purposes,0.7321
1528,clean cells cell assemblies glassware leads electrical connections battery poles using scrapers steam water emery cloths power grinders acid,41,assess electrical components consumer electronics applications such as fuel cells consumer electronic devices power saving devices computers televisions energy efficient power chargers,0.7321
11547,repair cracks in wood metal instruments using pinning wire lathes fillers clamps soldering irons,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.732
6447,install pipe assemblies fittings valves appliances such as dishwashers water heaters fixtures such as sinks toilets using hand power tools,210,gather historical data from sources such as archives court records diaries news files photographs as well as collect data sources such as books pamphlets periodicals,0.732
6327,inspect workpieces defects measure workpieces to determine accuracy of machine operation using rules templates other measuring instruments,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.732
2895,coordinate activities with regulatory bodies to ensure repairs alterations are at minimum cost consistent with safety,105,coordinate sales other promotional strategies with merchandising operations inventory control staff to ensure product catalogs are current accurate organized best findability against user intent,0.732
214,administer medications treatments such as catheterizations suppositories irrigations enemas massages douches as directed by a physician nurse,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7319
7707,measure take impressions of patients jaws teeth to determine the shape size of dental prostheses using face bows dental articulators recording devices other materials,18,analyze data such as interview notes test results reference manuals to identify symptoms to diagnose the nature of clients problems,0.7319
6714,investigate facts law of cases search pertinent sources such as public records internet sources to determine causes of action to prepare cases,127,design security policies programs practices to ensure adequate security relating to issues such as protection of assets alarm response access card use,0.7319
14308,write detailed consultation reports to provide information on complex genetic concepts to patients referring physicians,332,prepare reports to communicate information such as contamination test results decontamination results decontamination procedures,0.7319
9057,participate in training continuing education activities to stay abreast of engineering industry advances,45,assist engineers scientists in conducting applied research in electrical engineering,0.7318
1856,collaborate with staff members to plan develop programs of events schedules of activities,65,collaborate with other staff to assist in the development implementation of goals objectives policies priorities,0.7318
6158,inspect government-owned equipment materials in the possession of private contractors to ensure compliance with contracts regulations to prevent misuse,1,adjust controls of equipment to control particle beam movement pulse rates energy intensity radiation according to specifications,0.7318
3408,design databases to support healthcare applications ensuring security performance reliability,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7317
14050,use radiation safety measures protection devices to comply with government regulations to ensure safety of patients staff,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7317
10648,provide medical care consultation in many settings prescribing medication treatment referring patients surgery,355,provide refer patients to other providers education counseling on topics such as genetic testing newborn care contraception breastfeeding,0.7317
10656,provide offenders inmates with assistance in matters concerning detainers sentences in other jurisdictions writs applications social assistance,92,confer with systems analysts engineers programmers others to design system to obtain information on project limitations capabilities performance requirements interfaces,0.7317
5565,gather information from doctors schools social workers juvenile counsellors law enforcement personnel others to make recommendations to courts resolution of child custody visitation disputes,257,model appropriate social behaviors encourage concern others to cultivate development of interpersonal relationships communication skills,0.7316
9618,plan direct construction maintenance of range improvements such as fencing corrals stock-watering reservoirs soil-erosion control structures,369,recommend instructional methods such as individual group instruction self-study lectures demonstrations simulation exercises role-playing appropriate content learner characteristics,0.7316
11320,refer trainees to employer relations representatives to locations offering job placement assistance to appropriate social services agencies if warranted,141,develop communications materials advertisements presentations public relations initiatives to promote awareness of green products technologies,0.7316
7279,maintain logs prepare reports direct the preparation handling maintenance of departmental records,320,prepare maintain design testing operational records documentation,0.7316
13035,study blueprints layouts charts job orders information on specifications tooling instructions to determine material requirements operational sequences,337,present information using a variety of instructional techniques formats such as role playing simulations team exercises group discussions videos lectures,0.7315
4296,direct participate in on- off-campus recreational activities residents of institutions boarding schools fraternities sororities childrens homes similar establishments,217,identify environmental requirements of a particular species select oversee the preparation of sites species cultivation,0.7315
8840,organize assemble routine specialty surgical instrument trays other sterilized supplies filling special requests as needed,356,provide special services such as investment banking clients with more specialized needs,0.7314
1858,collaborate with teachers administrators in the development evaluation revision of school programs in the preparation of master schedules curriculum offerings,234,instruct users in the selection use design of audio-visual materials assist them in the preparation of instructional materials the rehearsal of presentations,0.7314
11215,record report job-related activities findings transactions violations discrepancies decisions,222,inform advise concerned parties regarding fluctuations securities transactions affecting plans accounts,0.7314
1477,check the forms that hold the concrete to see that they are properly constructed,44,assess the nature level of threats so that the scope of the problem can be determined,0.7313
5047,evaluate product data design from inspections reports conformance to engineering principles customer requirements environmental regulations quality standards,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7313
1762,climb poles ladders use truck-mounted booms enter areas such as manholes cable vaults to install maintain inspect equipment,432,weigh measure materials equipment products to maintain relevant records using volume meters scales rules calipers,0.7313
5675,handle all aspects of employee insurance benefits casualty programs including monitoring changes in health insurance regulations creating budgets benefits workers compensation,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7312
10554,provide counselling to radiologic patients to explain the processes risks benefits alternative treatments,97,consult with patients following radiation treatments to provide information assess outcomes to recommend further consultation treatments as appropriate,0.7312
4297,direct participate in surveying to lay out installations establish reference points grades elevations to guide construction,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7312
10843,read analyze charts work orders production schedules other records reports to determine production requirements to evaluate current production estimates outputs,79,compute costs of labor materials in order to determine production costs of products articles,0.7312
2948,coordinate on-site activities environmental cleanup remediation projects to ensure compliance with environmental laws standards regulations other requirements,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7312
4978,evaluate current proposed manufacturing processes practices environmental sustainability considering factors such as greenhouse gas emissions air pollution water pollution energy use waste creation,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7312
7693,measure patients range-of-joint motion body parts vital signs to determine effects of treatments patient evaluations,276,negotiate with creditors on behalf of clients to arrange payment adjustments interest rate reductions time extensions to set up payment plans,0.7312
2157,complete verify process forms documentation administration of benefits such as pension plans unemployment medical insurance,298,plan direct development communication of programs to maintain favorable public stockholder perceptions of an organizations accomplishments agenda environmental responsibility,0.7311
2582,confer with managers to evaluate weather soil conditions to develop plans procedures to discuss issues such as changes in fertilizers herbicides cultivating techniques,73,communicate to faculty students other users availability of changes to distance learning courses materials programs services applications,0.7311
13772,train workers in safety procedures related to green jobs such as the use of fall protection devices maintenance of proper ventilation during wind turbine construction,406,summarize pertinent legal insurance details sections of statutes case law from reference books so that they can be used in examinations as proofs ready reference,0.7311
7714,measure tolerances of assembled salvageable parts conformance to standards specifications using gauges micrometers callipers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7311
1132,attend sales trade meetings read related publications to obtain information about market conditions business trends regulations industry developments,97,consult with patients following radiation treatments to provide information assess outcomes to recommend further consultation treatments as appropriate,0.7311
6595,interpret test results compare them to established specifications control limits make recommendations on appropriateness of data release,409,synthesize analyses of test results use the results to prepare technical reports of findings recommendations,0.7311
6809,keep daily program logs to provide information on all elements aired during broadcast such as musical selections station promotions,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7311
11795,research perform calculations related to landscape allowances discharge volumes production-based alternative limits wastewater strength classifications making recommendations completing documentation,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.731
958,assist engineers to implement electromechanical designs in industrial other settings,45,assist engineers scientists in conducting applied research in electrical engineering,0.731
5448,finish duplicate drawings documentation packages according to required mediums specifications reproduction using blueprinting photography other duplicating methods,193,examine drawings negatives photographic prints to determine coloring shading accenting other changes required retouching restoration,0.731
11904,review applications mergers acquisitions establishment of new institutions acceptance in federal reserve system registration of securities sales to determine their public interest value conformance to regulations recommend acceptance rejection,8,advise food service managers organizations on sanitation safety procedures menu development budgeting planning to assist with the establishment operation evaluation of food service facilities nutrition programs,0.731
7645,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers callipers gauges micrometers,56,calibrate adjust equipment to ensure quality production using tools such as calipers micrometers height gauges protractors ring gauges,0.7309
10870,read current literature talk with colleagues participate in professional organizations conferences to keep abreast of developments in audiology,288,participate in seminars workshops other professional activities to keep abreast of developments in anesthesiology,0.7309
8087,monitor status of loans accounts to ensure that payments are up to date,276,negotiate with creditors on behalf of clients to arrange payment adjustments interest rate reductions time extensions to set up payment plans,0.7309
6157,inspect government property such as construction sites public housing to ensure compliance with contract specifications legal requirements,135,determine map content layout as well as production specifications such as scale size projection colors direct production to ensure that specifications are followed,0.7308
3798,develop final construction plans that include aesthetic representations of the structure details its construction,279,observe provide feedback on instructional techniques presentation methods instructional aids,0.7308
1837,collaborate with other teachers professionals in the development of instructional programs,63,collaborate with other professionals to develop sustainable transportation strategies at the local regional national levels,0.7308
10887,read interpret blueprints drawings of parts to be cast patterns to be made compute dimensions plan operational sequences,276,negotiate with creditors on behalf of clients to arrange payment adjustments interest rate reductions time extensions to set up payment plans,0.7307
11180,record operational data such as temperatures pressures ingredients used processing times test results,96,consult with other professionals agencies universities to discuss therapies treatments counseling resources techniques to share occupational information,0.7307
7057,locate mark the position of pipe installations connections passage holes fixtures in structures using measuring instruments such as rulers levels,130,design transportation systems structures using sustainable materials products such as porous pavement bioretention structures,0.7307
6698,investigate complaints conflicts related to the alteration of public waters gathering information recommending alternatives informing participants of progress preparing draft orders,293,plan coordinate activities concerned with investigating resolving customers reports of technical problems with aircraft aerospace vehicles,0.7307
2471,conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements to facilitate determination of cases,18,analyze data such as interview notes test results reference manuals to identify symptoms to diagnose the nature of clients problems,0.7307
10868,read current literature talk with colleagues participate in educational programs attend meetings workshops participate in professional organizations conferences to keep abreast of developments in the manufacturing field,374,research reference materials analyze production data consult with interested parties to develop ideas new products,0.7307
1794,collaborate with economic development planners to decide on the implementation of proposed development policies plans programs based on culturally institutionalized barriers facilitating circumstances,8,advise food service managers organizations on sanitation safety procedures menu development budgeting planning to assist with the establishment operation evaluation of food service facilities nutrition programs,0.7307
1327,calibrate adjust equipment to ensure quality production using tools such as callipers micrometers height gauges protractors ring gauges,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7307
7621,measure completed workpieces to verify conformance to specifications using micrometers gauges callipers templates rulers,430,verify dimensions of completed patterns using templates straightedges calipers protractors,0.7306
8137,monitor visitors activities to ensure compliance with establishment tour regulations safety practices,228,inspect public establishments to ensure compliance with rules regulations,0.7306
4422,disassemble units inspect parts wear using micrometers callipers gauges,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.7306
2427,conduct research on the structures properties of materials such as metals alloys polymers ceramics to obtain information that could be used to develop new products enhance existing ones,373,research analyze reference materials consult with interested parties in order to develop new products modify existing designs,0.7306
8390,observe patients charting reporting changes in patients conditions such as adverse reactions to medication treatment taking any necessary action,97,consult with patients following radiation treatments to provide information assess outcomes to recommend further consultation treatments as appropriate,0.7306
9970,prepare deliver reports presentations of geospatial project information,313,prepare direct preparation of correspondence reports operations maintenance safety manuals,0.7305
2536,confer with creative art copywriting production department heads to discuss client requirements presentation concepts to coordinate creative activities,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7305
11770,research design evaluate install operate maintain mechanical products equipment systems processes to meet requirements,432,weigh measure materials equipment products to maintain relevant records using volume meters scales rules calipers,0.7305
3443,design explain treatment plans based on patient information such as medical history reports examination results,332,prepare reports to communicate information such as contamination test results decontamination results decontamination procedures,0.7305
4051,develop testing evaluation procedures,146,develop direct software system testing validation procedures,0.7305
10551,provide consulting services including educational programs outreach programs prevention talks to schools social service agencies businesses the general public,354,provide public education consultation to other professionals groups regarding counseling services issues methods,0.7305
3702,determine whether statistical methods are appropriate based on user needs research questions of interest,11,advise retail customers internal users on the appropriateness of parts supplies materials requested,0.7305
10060,prepare maintain reports of investigation results records of convicted arsonists arson suspects,332,prepare reports to communicate information such as contamination test results decontamination results decontamination procedures,0.7304
6735,investigate responses of soils to specific management practices to determine the use capabilities of soils the effects of alternative practices on soil productivity,166,develop tests questionnaires procedures that measure the effectiveness of curricula use these tools to determine whether program objectives are being met,0.7304
821,assess clients overall financial situations by reviewing income assets debts expenses credit reports other financial information,383,review financial periodicals stock bond reports business publications other material to identify potential investments clients to keep abreast of trends affecting market conditions,0.7304
11945,review electrical engineering plans to ensure adherence to design specifications compliance with applicable electrical codes standards,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7304
6390,install equipment such as amplifiers repeaters to maintain the strength of communications transmissions,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7303
2560,confer with escrow companies lenders home inspectors pest control operators to ensure that terms conditions of purchase agreements are met before closing dates,96,consult with other professionals agencies universities to discuss therapies treatments counseling resources techniques to share occupational information,0.7303
10524,provide assistance with staff selection training supervision,344,provide clinical instruction supervision training to staff in areas such as anesthesia practices,0.7302
798,assemble pipe sections tubing fittings using couplings clamps screws bolts cement plastic solvent caulking soldering brazing welding equipment,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7302
11797,research production specifications costs production materials manufacturing methods provide cost estimates itemized production requirements,374,research reference materials analyze production data consult with interested parties to develop ideas new products,0.7302
7358,maintain records that include patient information sonographs interpretations files of correspondence publications regulations quality assurance records such as pathology biopsy post-operative reports,406,summarize pertinent legal insurance details sections of statutes case law from reference books so that they can be used in examinations as proofs ready reference,0.7302
7832,modify cooking forming operations based on the results of sampling processes adjusting time cycles ingredients to achieve desired qualities such as firmness texture,96,consult with other professionals agencies universities to discuss therapies treatments counseling resources techniques to share occupational information,0.7301
10159,prepare reports of selection survey other statistics recommendations corrective action,335,prepare statistical reports narrative reports graphic presentations of information such as tumor registry data use by hospital staff researchers other users,0.7301
7429,make adjustments minor repairs to heating cooling ventilating plumbing electrical systems,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7301
2948,coordinate on-site activities environmental cleanup remediation projects to ensure compliance with environmental laws standards regulations other requirements,264,monitor environments to ensure maintenance of optimum conditions aquatic life,0.7301
8892,oversee construction renovation projects to improve efficiency to ensure that facilities meet environmental health security standards comply with government regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7301
6797,keep abreast of developments in document management technologies techniques by reviewing current literature talking with colleagues participating in educational programs attending meetings workshops participating in professional organizations conferences,383,review financial periodicals stock bond reports business publications other material to identify potential investments clients to keep abreast of trends affecting market conditions,0.7301
5570,gather maintain patient information records including social medical history obtained from patients relatives other professionals,301,plan evaluate modify treatment programs based on information gathered by observing interviewing patients by analyzing patient records,0.7301
5803,identify environmental mitigation alternatives ensuring compliance with applicable standards laws regulations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7301
10933,read work orders production schedules to determine specifications such as materials to be used locations of cutting lines dimensions tolerances,135,determine map content layout as well as production specifications such as scale size projection colors direct production to ensure that specifications are followed,0.7301
3980,develop processes to separate components of liquids gases generate electrical currents using controlled chemical processes,425,use microcontrollers to develop control signals implement control algorithms measure process variables such as temperatures pressures positions,0.7301
7953,monitor funeral service operations to ensure that they comply with applicable policies regulations laws,269,monitor nuclear facility operations to identify any design construction operation practices that violate safety regulations laws that could jeopardize the safety of operations,0.73
6043,insert sealing strips wiring insulating material ladders flanges gauges valves depending on types of structures being assembled,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.73
6966,link chart suspects to criminal organizations events to determine activities interrelationships,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.73
11989,review modify policies operating guidelines to comply with changes to environmental standards regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.73
2929,coordinate fuel cell engineering test schedules with departments outside engineering such as manufacturing,237,interpret engineering drawings schematic diagrams formulas management engineering staff,0.73
3682,determine the types of regulatory submissions internal documentation that are required in situations such as proposed device changes labelling changes,406,summarize pertinent legal insurance details sections of statutes case law from reference books so that they can be used in examinations as proofs ready reference,0.73
